LoanID,LoanType,LoanPurpose,EmploymentType,OriginationDate,OriginationYear,OriginationQtr,LoanAmount,InterestRate,TermYears,BranchName,Region,State,BranchManager,LoanStatus,DaysDelinquent,MonthlyPayment,AgingBucket,DelinquencyFlag,DefaultFlag,CreditScore,CreditBand,PreviousDefaults,MonthlyIncome,BureauSource,PropertyType,PropertyValue,LTV,LTV_Band,PropertyState,DTI_Ratio,AnnualInterestIncome
LN-00022,Fixed 30-Year,Purchase,Salaried,2020-06-21,2020,Q2-2020,562000.0,4.52,30,Syracuse Branch,North,NY,Linda Perez,30 DPD,50,2854.25,1-30 DPD,1,0,681,Fair (650-699),0,27703.0,Equifax,Condo,631000.0,0.89,High (>85%),OH,0.103,25402.0
LN-00023,ARM 7/1,Purchase,Contract,2020-09-01,2020,Q3-2020,785000.0,3.64,15,Syracuse Branch,North,NY,Linda Perez,30 DPD,54,5665.95,1-30 DPD,1,0,705,Good (700-749),1,3742.0,TransUnion,Single Family,1377000.0,0.57,Low (<70%),PA,1.514,28574.0
LN-00024,Fixed 30-Year,Purchase,Contract,2023-04-21,2023,Q2-2023,847000.0,6.39,30,Detroit Branch,Central,MI,Brian Johnson,60 DPD,89,5292.49,2-60 DPD,1,0,586,Poor (<650),0,4477.0,Equifax,Single Family,1389000.0,0.61,Low (<70%),PA,1.182,54123.0
LN-00025,Fixed 30-Year,Purchase,Salaried,2022-10-01,2022,Q4-2022,159000.0,5.62,30,San Diego Branch,West,CA,Kevin Nguyen,Current,0,914.79,0-Current,0,0,656,Fair (650-699),0,24355.0,TransUnion,Condo,167000.0,0.95,High (>85%),GA,0.038,8936.0
LN-00026,Fixed 30-Year,Purchase,Self-Employed,2019-03-24,2019,Q1-2019,677000.0,7.65,30,Rochester Branch,North,NY,Tom Henderson,Current,0,4803.41,0-Current,0,0,708,Good (700-749),0,7176.0,TransUnion,Multi-Family,1110000.0,0.61,Low (<70%),NY,0.669,51791.0
LN-00027,Fixed 30-Year,Purchase,Salaried,2018-11-05,2018,Q4-2018,230000.0,5.79,30,Phoenix Branch,West,AZ,Rachel Torres,Current,0,1348.07,0-Current,0,0,607,Poor (<650),0,11634.0,Equifax,Townhouse,288000.0,0.8,Medium (70-85%),NV,0.116,13317.0
LN-00028,ARM 5/1,Purchase,Contract,2020-08-26,2020,Q3-2020,875000.0,8.35,15,Detroit Branch,Central,MI,Brian Johnson,Current,0,8539.71,0-Current,0,0,730,Good (700-749),0,16342.0,Equifax,Multi-Family,1199000.0,0.73,Medium (70-85%),AZ,0.523,73063.0
LN-00029,ARM 5/1,Home Equity,Retired,2018-01-09,2018,Q1-2018,820000.0,4.16,15,Tampa Branch,South,FL,Diana Foster,Current,0,6131.4,0-Current,0,0,651,Fair (650-699),0,11870.0,TransUnion,Single Family,1079000.0,0.76,Medium (70-85%),AZ,0.517,34112.0
LN-00030,Fixed 30-Year,Refinance,Contract,2024-03-26,2024,Q1-2024,651000.0,7.27,30,Phoenix Branch,West,AZ,Rachel Torres,Current,0,4449.8,0-Current,0,0,676,Fair (650-699),0,24022.0,TransUnion,Townhouse,1067000.0,0.61,Low (<70%),MA,0.185,47328.0
LN-00031,Fixed 30-Year,Purchase,Retired,2024-01-30,2024,Q1-2024,874000.0,6.44,30,Tampa Branch,South,FL,Diana Foster,Current,0,5489.83,0-Current,0,0,651,Fair (650-699),0,10141.0,Equifax,Condo,1016000.0,0.86,High (>85%),NJ,0.541,56286.0
LN-00032,Fixed 15-Year,Purchase,Salaried,2019-10-07,2019,Q4-2019,492000.0,7.94,15,Buffalo Branch,North,NY,James Carlson,Current,0,4684.78,0-Current,0,0,848,Excellent (750+),1,5005.0,Experian,Townhouse,879000.0,0.56,Low (<70%),FL,0.936,39065.0
LN-00033,Fixed 30-Year,Purchase,Self-Employed,2022-07-12,2022,Q3-2022,136000.0,7.99,30,Miami Branch,South,FL,Carlos Rivera,30 DPD,30,996.97,1-30 DPD,1,0,698,Fair (650-699),0,22242.0,Experian,Townhouse,158000.0,0.86,High (>85%),NY,0.045,10866.0
LN-00034,Fixed 30-Year,Purchase,Retired,2024-05-04,2024,Q2-2024,147000.0,6.87,30,Indianapolis Branch,Central,IN,Christopher Lee,Current,0,965.19,0-Current,0,0,615,Poor (<650),0,26106.0,Equifax,Condo,167000.0,0.88,High (>85%),NV,0.037,10099.0
LN-00035,Fixed 30-Year,Purchase,Salaried,2021-05-13,2021,Q2-2021,405000.0,6.94,30,Newark Branch,East,NJ,Jennifer Walsh,Current,0,2678.18,0-Current,0,0,765,Excellent (750+),0,26135.0,TransUnion,Single Family,686000.0,0.59,Low (<70%),FL,0.102,28107.0
LN-00036,Fixed 15-Year,Purchase,Retired,2024-01-12,2024,Q1-2024,542000.0,3.8,15,Phoenix Branch,West,AZ,Rachel Torres,Current,0,3955.0,0-Current,0,0,602,Poor (<650),0,16149.0,Equifax,Condo,732000.0,0.74,Medium (70-85%),MA,0.245,20596.0
LN-00037,ARM 5/1,Purchase,Retired,2019-10-09,2019,Q4-2019,801000.0,5.28,15,Baltimore Branch,East,MD,David Kumar,Current,0,6451.7,0-Current,0,0,716,Good (700-749),0,12171.0,TransUnion,Condo,890000.0,0.9,High (>85%),CA,0.53,42293.0
LN-00038,Fixed 30-Year,Home Equity,Self-Employed,2019-03-01,2019,Q1-2019,750000.0,4.9,30,Chicago Branch,Central,IL,Nancy Williams,Current,0,3980.45,0-Current,0,0,550,Poor (<650),0,7942.0,TransUnion,Townhouse,882000.0,0.85,Medium (70-85%),IL,0.501,36750.0
LN-00039,ARM 5/1,Refinance,Retired,2021-02-28,2021,Q1-2021,689000.0,4.1,15,Rochester Branch,North,NY,Tom Henderson,Current,0,5131.05,0-Current,0,0,593,Poor (<650),0,22893.0,Experian,Condo,1044000.0,0.66,Low (<70%),NC,0.224,28249.0
LN-00040,Fixed 15-Year,Purchase,Contract,2018-07-28,2018,Q3-2018,286000.0,8.24,15,Boston Branch,East,MA,Patricia Cole,Current,0,2772.94,0-Current,0,0,715,Good (700-749),0,26195.0,Equifax,Condo,440000.0,0.65,Low (<70%),OH,0.106,23566.0
LN-00041,Fixed 30-Year,Purchase,Contract,2020-12-08,2020,Q4-2020,354000.0,3.97,30,Boston Branch,East,MA,Patricia Cole,Current,0,1683.93,0-Current,0,0,759,Excellent (750+),0,6635.0,Equifax,Condo,393000.0,0.9,High (>85%),TX,0.254,14054.0
LN-00042,Fixed 15-Year,Purchase,Retired,2019-09-03,2019,Q3-2019,172000.0,8.45,15,San Diego Branch,West,CA,Kevin Nguyen,Current,0,1688.71,0-Current,0,0,713,Good (700-749),0,20044.0,TransUnion,Single Family,207000.0,0.83,Medium (70-85%),NJ,0.084,14534.0
LN-00043,Fixed 30-Year,Cash-Out Refinance,Self-Employed,2018-06-13,2018,Q2-2018,185000.0,4.95,30,Detroit Branch,Central,MI,Brian Johnson,60 DPD,78,987.47,2-60 DPD,1,0,690,Fair (650-699),0,26481.0,Equifax,Single Family,298000.0,0.62,Low (<70%),CA,0.037,9158.0
LN-00044,Fixed 15-Year,Home Equity,Self-Employed,2022-07-23,2022,Q3-2022,370000.0,6.33,15,Charlotte Branch,South,NC,Michael Hayes,30 DPD,40,3188.62,1-30 DPD,1,0,675,Fair (650-699),0,17906.0,Experian,Multi-Family,435000.0,0.85,Medium (70-85%),CA,0.178,23421.0
LN-00045,ARM 7/1,Purchase,Retired,2018-04-12,2018,Q2-2018,745000.0,8.1,15,Miami Branch,South,FL,Carlos Rivera,Current,0,7162.68,0-Current,0,0,581,Poor (<650),0,6302.0,Experian,Multi-Family,828000.0,0.9,High (>85%),IL,1.137,60345.0
LN-00046,ARM 5/1,Purchase,Salaried,2020-12-28,2020,Q4-2020,789000.0,7.71,15,San Diego Branch,West,CA,Kevin Nguyen,Current,0,7408.6,0-Current,0,0,642,Poor (<650),0,4985.0,Experian,Condo,928000.0,0.85,Medium (70-85%),FL,1.486,60832.0
LN-00047,ARM 5/1,Purchase,Self-Employed,2023-03-01,2023,Q1-2023,262000.0,7.74,15,Buffalo Branch,North,NY,James Carlson,Current,0,2464.64,0-Current,0,0,663,Fair (650-699),0,19142.0,TransUnion,Single Family,301000.0,0.87,High (>85%),FL,0.129,20279.0
LN-00048,Fixed 15-Year,Home Equity,Retired,2018-10-12,2018,Q4-2018,407000.0,4.78,15,Albany Branch,North,NY,Sarah Mitchell,Current,0,3172.08,0-Current,0,0,784,Excellent (750+),0,26524.0,Equifax,Condo,667000.0,0.61,Low (<70%),MD,0.12,19455.0
LN-00049,Fixed 30-Year,Purchase,Retired,2018-04-24,2018,Q2-2018,885000.0,6.2,30,Chicago Branch,Central,IL,Nancy Williams,90 DPD,114,5420.35,3-90 DPD,1,0,610,Poor (<650),1,8987.0,TransUnion,Single Family,994000.0,0.89,High (>85%),MD,0.603,54870.0
LN-00050,ARM 7/1,Purchase,Retired,2022-11-15,2022,Q4-2022,298000.0,3.85,15,Columbus Branch,Central,OH,Melissa Brown,Default,238,2181.94,4-Default,1,1,500,Poor (<650),1,9996.0,Equifax,Single Family,355000.0,0.84,Medium (70-85%),GA,0.218,11473.0
LN-00051,ARM 7/1,Purchase,Contract,2020-02-18,2020,Q1-2020,175000.0,8.2,15,Indianapolis Branch,Central,IN,Christopher Lee,Current,0,1692.66,0-Current,0,0,725,Good (700-749),2,21797.0,Experian,Multi-Family,269000.0,0.65,Low (<70%),NJ,0.078,14350.0
LN-00052,ARM 7/1,Purchase,Salaried,2020-03-18,2020,Q1-2020,522000.0,7.21,15,Chicago Branch,Central,IL,Nancy Williams,30 DPD,55,4753.38,1-30 DPD,1,0,669,Fair (650-699),0,8077.0,Experian,Single Family,842000.0,0.62,Low (<70%),FL,0.589,37636.0
LN-00053,Fixed 15-Year,Purchase,Contract,2021-05-15,2021,Q2-2021,624000.0,3.94,15,Newark Branch,East,NJ,Jennifer Walsh,Current,0,4596.91,0-Current,0,0,645,Poor (<650),0,25179.0,TransUnion,Condo,918000.0,0.68,Low (<70%),NY,0.183,24586.0
LN-00054,Fixed 15-Year,Refinance,Self-Employed,2022-04-02,2022,Q2-2022,535000.0,4.31,15,Los Angeles Branch,West,CA,Amy Zhang,30 DPD,35,4040.95,1-30 DPD,1,0,748,Good (700-749),0,20643.0,TransUnion,Townhouse,615000.0,0.87,High (>85%),PA,0.196,23059.0
LN-00055,Fixed 30-Year,Purchase,Retired,2021-03-21,2021,Q1-2021,529000.0,3.25,30,Columbus Branch,Central,OH,Melissa Brown,Current,0,2302.24,0-Current,0,0,782,Excellent (750+),0,18575.0,Equifax,Condo,725000.0,0.73,Medium (70-85%),AZ,0.124,17193.0
LN-00056,Fixed 30-Year,Refinance,Retired,2019-11-27,2019,Q4-2019,255000.0,5.85,30,Phoenix Branch,West,AZ,Rachel Torres,Current,0,1504.35,0-Current,0,0,774,Excellent (750+),0,5605.0,Equifax,Multi-Family,266000.0,0.96,High (>85%),MA,0.268,14918.0
LN-00057,Fixed 30-Year,Purchase,Self-Employed,2021-06-25,2021,Q2-2021,751000.0,7.38,30,Indianapolis Branch,Central,IN,Christopher Lee,Current,0,5189.53,0-Current,0,0,632,Poor (<650),0,21237.0,Experian,Multi-Family,975000.0,0.77,Medium (70-85%),OH,0.244,55424.0
LN-00058,Fixed 30-Year,Purchase,Self-Employed,2018-10-26,2018,Q4-2018,887000.0,6.61,30,Albany Branch,North,NY,Sarah Mitchell,Current,0,5670.76,0-Current,0,0,675,Fair (650-699),0,15139.0,Experian,Condo,1478000.0,0.6,Low (<70%),NY,0.375,58631.0
LN-00059,Fixed 30-Year,Cash-Out Refinance,Salaried,2018-01-23,2018,Q1-2018,280000.0,6.86,30,Los Angeles Branch,West,CA,Amy Zhang,Current,0,1836.6,0-Current,0,0,726,Good (700-749),0,5442.0,Equifax,Condo,368000.0,0.76,Medium (70-85%),MA,0.337,19208.0
LN-00060,Fixed 30-Year,Purchase,Self-Employed,2023-03-18,2023,Q1-2023,739000.0,7.08,30,San Diego Branch,West,CA,Kevin Nguyen,Current,0,4956.35,0-Current,0,0,778,Excellent (750+),0,8559.0,TransUnion,Townhouse,1274000.0,0.58,Low (<70%),NC,0.579,52321.0
LN-00061,Fixed 30-Year,Refinance,Contract,2024-04-08,2024,Q2-2024,737000.0,6.92,30,Rochester Branch,North,NY,Tom Henderson,60 DPD,82,4863.75,2-60 DPD,1,0,661,Fair (650-699),1,22730.0,TransUnion,Condo,1100000.0,0.67,Low (<70%),TX,0.214,51000.0
LN-00062,Fixed 30-Year,Refinance,Contract,2019-10-14,2019,Q4-2019,824000.0,5.7,30,Chicago Branch,Central,IL,Nancy Williams,Current,0,4782.5,0-Current,0,0,685,Fair (650-699),0,6492.0,TransUnion,Single Family,1248000.0,0.66,Low (<70%),GA,0.737,46968.0
LN-00063,ARM 5/1,Purchase,Self-Employed,2023-11-06,2023,Q4-2023,769000.0,4.78,15,Boston Branch,East,MA,Patricia Cole,30 DPD,36,5993.44,1-30 DPD,1,0,611,Poor (<650),0,9753.0,Equifax,Multi-Family,854000.0,0.9,High (>85%),GA,0.615,36758.0
LN-00064,Fixed 30-Year,Cash-Out Refinance,Salaried,2021-08-02,2021,Q3-2021,314000.0,4.74,30,Phoenix Branch,West,AZ,Rachel Torres,Current,0,1636.08,0-Current,0,0,604,Poor (<650),0,5715.0,Equifax,Single Family,413000.0,0.76,Medium (70-85%),PA,0.286,14884.0
LN-00065,Fixed 30-Year,Purchase,Retired,2018-09-21,2018,Q3-2018,649000.0,7.14,30,Atlanta Branch,South,GA,Angela Brooks,Current,0,4379.01,0-Current,0,0,765,Excellent (750+),1,9130.0,Experian,Single Family,914000.0,0.71,Medium (70-85%),AZ,0.48,46339.0
LN-00066,Fixed 30-Year,Cash-Out Refinance,Contract,2018-03-22,2018,Q1-2018,250000.0,5.56,30,Phoenix Branch,West,AZ,Rachel Torres,Current,0,1428.9,0-Current,0,0,808,Excellent (750+),0,6995.0,TransUnion,Single Family,321000.0,0.78,Medium (70-85%),GA,0.204,13900.0
LN-00067,ARM 7/1,Purchase,Self-Employed,2022-09-13,2022,Q3-2022,325000.0,5.39,15,Albany Branch,North,NY,Sarah Mitchell,Current,0,2636.59,0-Current,0,0,694,Fair (650-699),0,14535.0,Experian,Townhouse,353000.0,0.92,High (>85%),OH,0.181,17518.0
LN-00068,Fixed 30-Year,Refinance,Contract,2022-07-15,2022,Q3-2022,478000.0,5.39,30,Charlotte Branch,South,NC,Michael Hayes,Current,0,2681.13,0-Current,0,0,780,Excellent (750+),0,21831.0,Experian,Single Family,621000.0,0.77,Medium (70-85%),MI,0.123,25764.0
LN-00069,Fixed 15-Year,Purchase,Contract,2018-04-22,2018,Q2-2018,824000.0,6.51,15,Indianapolis Branch,Central,IN,Christopher Lee,Current,0,7182.46,0-Current,0,0,728,Good (700-749),1,19929.0,TransUnion,Multi-Family,1421000.0,0.58,Low (<70%),MA,0.36,53642.0
LN-00070,Fixed 30-Year,Purchase,Contract,2023-02-06,2023,Q1-2023,293000.0,5.05,30,Phoenix Branch,West,AZ,Rachel Torres,Current,0,1581.85,0-Current,0,0,648,Poor (<650),0,21660.0,Experian,Multi-Family,444000.0,0.66,Low (<70%),PA,0.073,14797.0
LN-00071,Fixed 30-Year,Purchase,Retired,2024-01-19,2024,Q1-2024,147000.0,3.36,30,San Diego Branch,West,CA,Kevin Nguyen,Current,0,648.66,0-Current,0,0,728,Good (700-749),0,10402.0,TransUnion,Condo,230000.0,0.64,Low (<70%),MD,0.062,4939.0
LN-00072,ARM 5/1,Purchase,Salaried,2020-10-09,2020,Q4-2020,614000.0,7.4,15,Syracuse Branch,North,NY,Linda Perez,Current,0,5657.02,0-Current,0,0,823,Excellent (750+),1,18355.0,Experian,Multi-Family,1096000.0,0.56,Low (<70%),NJ,0.308,45436.0
LN-00073,Fixed 30-Year,Purchase,Retired,2020-06-11,2020,Q2-2020,468000.0,3.88,30,Atlanta Branch,South,GA,Angela Brooks,60 DPD,85,2202.05,2-60 DPD,1,0,697,Fair (650-699),0,9524.0,TransUnion,Multi-Family,793000.0,0.59,Low (<70%),MD,0.231,18158.0
LN-00074,Fixed 30-Year,Refinance,Self-Employed,2019-04-15,2019,Q2-2019,578000.0,7.36,30,Baltimore Branch,East,MD,David Kumar,Current,0,3986.2,0-Current,0,0,825,Excellent (750+),2,16325.0,Experian,Single Family,696000.0,0.83,Medium (70-85%),MD,0.244,42541.0
LN-00075,Fixed 15-Year,Purchase,Self-Employed,2022-03-18,2022,Q1-2022,842000.0,6.42,15,Rochester Branch,North,NY,Tom Henderson,Current,0,7297.74,0-Current,0,0,550,Poor (<650),0,14784.0,TransUnion,Single Family,1138000.0,0.74,Medium (70-85%),NV,0.494,54056.0
LN-00076,Fixed 15-Year,Cash-Out Refinance,Salaried,2021-05-20,2021,Q2-2021,594000.0,3.81,15,Columbus Branch,Central,OH,Melissa Brown,Current,0,4337.4,0-Current,0,0,765,Excellent (750+),0,11710.0,TransUnion,Townhouse,792000.0,0.75,Medium (70-85%),MD,0.37,22631.0
LN-00077,ARM 5/1,Purchase,Retired,2022-02-26,2022,Q1-2022,365000.0,5.61,15,Columbus Branch,Central,OH,Melissa Brown,Current,0,3003.7,0-Current,0,0,706,Good (700-749),0,10389.0,Equifax,Multi-Family,451000.0,0.81,Medium (70-85%),CA,0.289,20477.0
LN-00078,ARM 5/1,Refinance,Contract,2023-02-27,2023,Q1-2023,167000.0,8.53,15,San Diego Branch,West,CA,Kevin Nguyen,Current,0,1647.45,0-Current,0,0,676,Fair (650-699),0,4516.0,Experian,Condo,204000.0,0.82,Medium (70-85%),OH,0.365,14245.0
LN-00079,ARM 7/1,Refinance,Contract,2024-01-14,2024,Q1-2024,301000.0,7.7,15,Chicago Branch,Central,IL,Nancy Williams,30 DPD,53,2824.63,1-30 DPD,1,0,707,Good (700-749),0,12383.0,Experian,Townhouse,510000.0,0.59,Low (<70%),IL,0.228,23177.0
LN-00080,Fixed 30-Year,Purchase,Contract,2018-12-21,2018,Q4-2018,778000.0,7.82,30,Columbus Branch,Central,OH,Melissa Brown,30 DPD,42,5611.37,1-30 DPD,1,0,550,Poor (<650),0,7230.0,Equifax,Multi-Family,1010000.0,0.77,Medium (70-85%),MI,0.776,60840.0
LN-00081,Fixed 15-Year,Cash-Out Refinance,Self-Employed,2023-07-18,2023,Q3-2023,628000.0,5.1,15,Phoenix Branch,West,AZ,Rachel Torres,Current,0,4998.96,0-Current,0,0,682,Fair (650-699),0,16320.0,Experian,Multi-Family,885000.0,0.71,Medium (70-85%),MD,0.306,32028.0
LN-00082,Fixed 30-Year,Refinance,Self-Employed,2021-02-05,2021,Q1-2021,292000.0,4.79,30,Tampa Branch,South,FL,Diana Foster,30 DPD,58,1530.26,1-30 DPD,1,0,728,Good (700-749),0,11819.0,TransUnion,Condo,336000.0,0.87,High (>85%),MD,0.129,13987.0
LN-00083,Fixed 15-Year,Refinance,Contract,2023-05-05,2023,Q2-2023,481000.0,7.42,15,Charlotte Branch,South,NC,Michael Hayes,30 DPD,45,4437.09,1-30 DPD,1,0,818,Excellent (750+),0,23686.0,TransUnion,Multi-Family,617000.0,0.78,Medium (70-85%),MA,0.187,35690.0
LN-00084,Fixed 30-Year,Refinance,Retired,2021-06-08,2021,Q2-2021,262000.0,7.05,30,Albany Branch,North,NY,Sarah Mitchell,Current,0,1751.9,0-Current,0,0,658,Fair (650-699),0,6801.0,Experian,Townhouse,359000.0,0.73,Medium (70-85%),AZ,0.258,18471.0
LN-00085,Fixed 15-Year,Purchase,Contract,2021-09-16,2021,Q3-2021,429000.0,7.35,15,Detroit Branch,Central,MI,Brian Johnson,30 DPD,56,3940.4,1-30 DPD,1,0,635,Poor (<650),0,15711.0,Equifax,Multi-Family,650000.0,0.66,Low (<70%),NY,0.251,31532.0
LN-00086,Fixed 30-Year,Refinance,Self-Employed,2019-05-05,2019,Q2-2019,179000.0,4.31,30,Philadelphia Branch,East,PA,Robert Simmons,30 DPD,32,886.87,1-30 DPD,1,0,659,Fair (650-699),0,21744.0,Experian,Condo,208000.0,0.86,High (>85%),IL,0.041,7715.0
LN-00087,Fixed 15-Year,Refinance,Salaried,2023-11-19,2023,Q4-2023,307000.0,6.49,15,Tampa Branch,South,FL,Diana Foster,Current,0,2672.61,0-Current,0,0,773,Excellent (750+),0,10247.0,TransUnion,Condo,349000.0,0.88,High (>85%),CA,0.261,19924.0
LN-00088,Fixed 30-Year,Purchase,Salaried,2023-12-28,2023,Q4-2023,376000.0,4.91,30,Tampa Branch,South,FL,Diana Foster,Current,0,1997.82,0-Current,0,0,726,Good (700-749),0,3783.0,TransUnion,Single Family,488000.0,0.77,Medium (70-85%),NV,0.528,18462.0
LN-00089,Fixed 30-Year,Purchase,Salaried,2023-07-04,2023,Q3-2023,854000.0,6.76,30,Detroit Branch,Central,MI,Brian Johnson,Current,0,5544.71,0-Current,0,0,657,Fair (650-699),0,27375.0,TransUnion,Condo,1472000.0,0.58,Low (<70%),NV,0.203,57730.0
